file_name,question
05x10x00x00F001962766N0073.png,what's left
10x25x50x10F001242790N0038.png,how many beds are in the room
10x25x20x05F000457465N0004.png,what is the color of ceiling light bulbs
05x10x50x10F000391480N0099.png,where this corridor leading
05x10x00x00F000148666N0083.png,what is on the picture
10x25x50x10F001000394N0033.png,how many sun loungers
05x10x00x00F000457467N0136.png,are there any mirrors in the room
05x10x00x00F002172627N0001.png,what is the house made of
05x10x20x05F002543963N0107.png,how many doors are there in the picture
05x10x00x00F001242790N0001.png,what is the door made of
05x10x50x10F001658019N0230.png,what is the color of the couch
10x25x20x05F000117324N0002.png,where is the stool
10x25x50x10F000117322N0029.png,what's at the pillar
05x10x00x00F001306120N0155.png,what color is the back of the chair
05x10x50x10F000702887N0058.png,where was that photo taken
10x25x50x10F002077367N0073.png,what is the shape hanging on the wall
05x10x50x10F001600209N0031.png,what is on the far right side
05x10x20x05F000754494N0019.png,what's in front of the curtain
05x10x50x10F000040912N0006.png,what is colors of wall
10x25x20x05F001846226N0018.png,what hangs on the wall above the bed
05x10x50x10F001810458N0153.png,how many chairs are there
10x25x50x10F001033915N0108.png,how many chairs are there at each table
05x10x00x00F002225367N0013.png,what is right to the glass shelf
05x10x00x00F002077367N0137.png,is tv on
05x10x50x10F002543965N0279.png,how many entrances are there in the room
10x25x20x05F001962766N0059.png,how many chairs are in the photo
05x10x00x00F001403391N0187.png,how many chairs are there in the picture
10x25x00x00F000457467N0060.png,what is the colour of the sofa
05x10x50x10F002172631N0194.png,how many stairs are there
05x10x50x10F001000394N0110.png,how many chairs are present
05x10x50x10F002225367N0023.png,what colour are the walls
05x10x20x05F000117323N0027.png,how many pillows on the bed
05x10x20x05F000798181N0133.png,what is it in front of the observer
10x25x20x05F000653548N0056.png,what colour is the carpet
05x10x50x10F001600209N0131.png,what is attached on the middle wall
05x10x50x10F002225366N0063.png,where is the outdoor plant located
05x10x20x05F002494042N0076.png,what is on the wall in front of the observer
05x10x20x05F000258801N0115.png,what is on the sofa
05x10x00x00F001511326N0004.png,what is the color of the cupboard
05x10x20x05F001511325N0089.png,which vehlice you can see on image
05x10x20x05F001846225N0018.png,how many plants are there
05x10x20x05F000653545N0042.png,what is on the floor
05x10x50x10F001306123N0143.png,how many windows do you see
05x10x50x10F000457467N0100.png,how many windows are there
10x25x50x10F000702890N0014.png,what colour plants placed in front
05x10x00x00F001600210N0058.png,how many doors u can see
05x10x20x05F000653549N0162.png,what is lying on the floor
05x10x20x05F002543963N0247.png,what color is the furnitures
05x10x50x10F000258801N0052.png,what color is the outermost color of the table
05x10x50x10F001846226N0122.png,how many paints are on the wall
05x10x20x05F001511326N0056.png,how many cycle in the room
05x10x50x10F000931038N0169.png,what is on the table
05x10x50x10F001306123N0023.png,how many stairs are there
10x25x50x10F000591481N0047.png,what is on the left wall
05x10x20x05F001085850N0039.png,what is on the counter
10x25x50x10F000503401N0055.png,what's in the middle of the picture
10x25x00x00F002225364N0006.png,what is on the right side of door
05x10x20x05F001600209N0118.png,what is hanging on the wall
05x10x50x10F002415594N0011.png,wich colour is wall
05x10x20x05F002237219N0046.png,what colour is the wall
05x10x00x00F000850481N0080.png,the doors of the house is open or close
10x25x00x00F002415591N0016.png,what is the colour of the wall
10x25x50x10F002237219N0068.png,what's on the left
05x10x50x10F002172631N0134.png,what material brings  a light on the top
10x25x50x10F000457466N0040.png,how many lamps can you see
10x25x50x10F002077367N0013.png,how many pillow on the room
05x10x50x10F001810458N0133.png,how many chairs are visible
05x10x20x05F001511322N0089.png,how many cards are there on the wall
05x10x50x10F000898641N0299.png,what animal is painted in the picture
05x10x20x05F000898639N0306.png,what is next to the windows on left
05x10x00x00F001367109N0037.png,how many chairs are around the table
10x25x20x05F000117323N0033.png,what color is the door
05x10x50x10F001000393N0131.png,how many sofa are there in the room
05x10x20x05F001568731N0111.png,color of walls
05x10x00x00F002225366N0023.png,whats on the left
10x25x50x10F001403391N0049.png,what is the color of doors
05x10x50x10F001403391N0137.png,how many armchairs are to the left of the window
05x10x20x05F001403391N0224.png,what color is the seat
10x25x20x05F002494046N0077.png,how many lights are there
10x25x50x10F001242791N0022.png,what is on your windows
10x25x50x10F002225366N0000.png,where is the plant
05x10x20x05F000898639N0166.png,what colour is the carpet on floor
05x10x50x10F000148666N0053.png,how many plants does this room have
05x10x20x05F000457467N0002.png,how many paintings are there in the room
05x10x20x05F000148666N0062.png,material of walls
05x10x00x00F001962767N0012.png,how many columns are there
10x25x20x05F000457467N0029.png,what is on the right wallt
05x10x50x10F000702891N0036.png,what are their colors
10x25x50x10F000653548N0039.png,how many arches are there in the room
05x10x50x10F002225364N0102.png,what's on the wall
10x25x00x00F001000393N0023.png,what material is the bed made of
05x10x00x00F001511322N0047.png,what's in front of the wall
05x10x20x05F000457466N0180.png,what color is the bedside table
05x10x50x10F002237218N0126.png,is this picture showing a wall picture of a boat
10x25x50x10F001600211N0023.png,is the light turned on
05x10x20x05F001658020N0170.png,what color is the blanket on the bed
05x10x00x00F001568732N0101.png,what colot is that door
05x10x50x10F001568732N0176.png,what's on the bed
10x25x50x10F001962767N0042.png,how many chairs
10x25x00x00F002543965N0024.png,what this on the wall
05x10x20x05F000798181N0153.png,what type of flowers are those
05x10x50x10F002172627N0095.png,how many paintings are there on the wall
05x10x20x05F000457465N0175.png,is this a living room
05x10x20x05F000702887N0104.png,what color is the sky
05x10x50x10F002012767N0011.png,what is there at the opposite wall
05x10x20x05F001242790N0091.png,where is the painting
05x10x50x10F001931684N0249.png,what color is the right wall
05x10x50x10F001962769N0026.png,what is wall color
05x10x20x05F002543961N0174.png,what color is the wall
05x10x50x10F002237218N0166.png,what's in the hallway
10x25x50x10F000754495N0015.png,what is to the right of the door
05x10x20x05F000850482N0297.png,what lies on the left of the middle column
05x10x50x10F001568731N0115.png,how many photo frame is here
05x10x20x05F000591481N0020.png,what elements are hanging in the front wall behind the counter
10x25x00x00F001511323N0064.png,how many windows are there
05x10x20x05F002444551N0201.png,what's on the seat
05x10x20x05F000258803N0018.png,what's on the side of the door
05x10x50x10F000702890N0114.png,what is the colour of the doorway
05x10x20x05F000898642N0087.png,how many windows do you see
05x10x20x05F001962770N0165.png,where is the sofa
05x10x20x05F001846225N0098.png,how many windows are there
05x10x50x10F001511323N0048.png,what wordis being referred by the arrow sign
05x10x20x05F001600209N0138.png,what's hanging on the wall
05x10x20x05F002543963N0227.png,how many light switches do you see in the picture
10x25x20x05F001568731N0038.png,what colour is the floor
10x25x50x10F000591479N0031.png,what is the color of the house in the right
10x25x20x05F001846226N0038.png,what is the color of the comforter
05x10x20x05F001000394N0032.png,what is near the wall
10x25x20x05F001931685N0018.png,where is the door
05x10x20x05F000040911N0004.png,what is hanged on the anchor
05x10x00x00F000898639N0116.png,what is the colour of the armchair
05x10x50x10F001568732N0136.png,how many windows in this house
10x25x50x10F000117324N0015.png,what is in front of the glass
05x10x00x00F000850482N0001.png,are there any tables in the room
10x25x50x10F001000396N0036.png,how many deck chairs on the picture
10x25x50x10F000898640N0051.png,how many drawings are shown in the picture
05x10x00x00F000040912N0073.png,in this image this is a dinning room
05x10x00x00F000798181N0131.png,how many flower are there
05x10x20x05F002172627N0013.png,how many fireplaces are ther
05x10x20x05F002172629N0055.png,what's in the left room
05x10x50x10F000798178N0047.png,how many curtains are
10x25x50x10F000898639N0126.png,how many tvs are on the picture
05x10x50x10F001568730N0049.png,how much doors are in the room
05x10x50x10F001403391N0277.png,what colour are the walls
05x10x00x00F000850482N0041.png,how many beds are there
05x10x50x10F001033916N0342.png,what color is the chair
05x10x00x00F000850481N0020.png,the wall at right side made up of
10x25x20x05F000653549N0025.png,what's the color of the door on the left side
05x10x00x00F000503401N0231.png,how many walls do you see in the picture
05x10x20x05F002172631N0030.png,how many doors are opne
05x10x50x10F001000393N0031.png,how maney tables
05x10x20x05F002415593N0149.png,how many lamp on the desk
